"id";"winerys";"wine";"winetype";"country region";"averages";"reviews";"images"
"1";"Oremus";"Eszencia 1999";"Dessert";"Hungary
·
Tokaj";"5.0";"34 ratings";"https://images.vivino.com/thumbs/_VYRnv4XTfCVEXlvhYw4AA_pb_x300.png"
"2";"Oremus";"Eszencia 2005";"Dessert";"Hungary
·
Tokaj";"4.9";"40 ratings";"https://images.vivino.com/thumbs/_VYRnv4XTfCVEXlvhYw4AA_pb_x300.png"
"3";"Oremus";"Eszencia 2000";"Dessert";"Hungary
·
Tokaj";"4.9";"37 ratings";"https://images.vivino.com/thumbs/_VYRnv4XTfCVEXlvhYw4AA_pb_x300.png"
"4";"Rolet";"Vin de Paille Arbois 2004";"Dessert";"France
·
Arbois";"4.9";"28 ratings";"https://images.vivino.com/thumbs/27IrPhDUR0KvICy3yYBEbQ_pb_x300.png"
"5";"Royal Tokaji";"Essencia 2007";"Dessert";"Hungary
·
Tokaj";"4.9";"27 ratings";"https://images.vivino.com/thumbs/1v-6QFBrRdqpfhCqaUUbLQ_pb_x300.png"
"6";"Royal Tokaji";"Essencia 2000";"Dessert";"Hungary
·
Tokaj";"4.9";"25 ratings";"https://images.vivino.com/thumbs/1v-6QFBrRdqpfhCqaUUbLQ_pb_x300.png"
"7";"Château d'Yquem";"Sauternes 1990";"Dessert";"France
·
Sauternes";"4.8";"1201 ratings";"https://images.vivino.com/thumbs/Jt7xLGXcSA22gVYMyBJjGg_pb_x300.png"
"8";"Château d'Yquem";"Sauternes 2001";"Dessert";"France
·
Sauternes";"4.8";"870 ratings";"https://images.vivino.com/thumbs/Jt7xLGXcSA22gVYMyBJjGg_pb_x300.png"
"9";"Château d'Yquem";"Sauternes 1989";"Dessert";"France
·
Sauternes";"4.8";"645 ratings";"https://images.vivino.com/thumbs/Jt7xLGXcSA22gVYMyBJjGg_pb_x300.png"
"10";"Château d'Yquem";"Sauternes 1976";"Dessert";"France
·
Sauternes";"4.8";"338 ratings";"https://images.vivino.com/thumbs/Jt7xLGXcSA22gVYMyBJjGg_pb_x300.png"
"11";"Château d'Yquem";"Sauternes 1967";"Dessert";"France
·
Sauternes";"4.8";"232 ratings";"https://images.vivino.com/thumbs/Jt7xLGXcSA22gVYMyBJjGg_pb_x300.png"
"12";"Szepsy";"Aszú Tokaji 6 Puttonyos 2008";"Dessert";"Hungary
·
Tokaj";"4.8";"193 ratings";"https://images.vivino.com/thumbs/b4y6mQhmTfKchHtJB4ixiQ_pb_x300.png"
