"id";"winerys";"wine";"winetype";"country region";"averages";"reviews";"images"
"1";"Antica Terra";"Angelicall Rosé 2014";"Rose";"United States
·
Willamette Valley";"4.7";"33 ratings";"https://images.vivino.com/thumbs/LRmcfSasTD22xR6lRSKcIw_pb_x300.png"
"2";"Antinori";"Fonte de' Medici 2011";"Rose";"Italy
·
Vino d'Italia";"4.6";"199 ratings";"https://images.vivino.com/highlights/icon/top_ranked.svg"
"3";"Minuty";"281 Rosé 2014";"Rose";"France
·
Provence";"4.6";"39 ratings";"https://images.vivino.com/thumbs/CRBSmK3xRuqHdCg4TpBpVw_pb_x300.png"
"4";"Château Saint-Maur";"Clos de Capelune Côtes de Provence Rosé 2017";"Rose";"France
·
Côtes de Provence";"4.6";"34 ratings";"https://images.vivino.com/thumbs/l7BLBu7ERi2tJIQqtli_NA_pb_x300.png"
"5";"Villa M";"Rosé 2016";"Rose";"Italy
·
Piemonte";"4.6";"33 ratings";"https://images.vivino.com/thumbs/__JeiUHGQ5KF6LBGEREllw_pb_x300.png"
"6";"Minuty";"281 Rosé 2017";"Rose";"France
·
Provence";"4.5";"152 ratings";"https://images.vivino.com/thumbs/CRBSmK3xRuqHdCg4TpBpVw_pb_x300.png"
"7";"Castello di Amorosa";"La Fantasia 2015";"Rose";"United States
·
California";"4.5";"150 ratings";"https://images.vivino.com/highlights/icon/top_ranked.svg"
"8";"Château d'Esclans";"Garrus Rosé 2017";"Rose";"France
·
Côtes de Provence";"4.5";"148 ratings";"https://images.vivino.com/thumbs/NGq7QIE3QwSE0cAKrvPuTA_pb_x300.png"
"9";"Minuty";"281 Rosé 2016";"Rose";"France
·
Provence";"4.5";"147 ratings";"https://images.vivino.com/thumbs/CRBSmK3xRuqHdCg4TpBpVw_pb_x300.png"
"10";"Château d'Esclans";"Garrus Rosé 2010";"Rose";"France
·
Côtes de Provence";"4.5";"115 ratings";"https://images.vivino.com/thumbs/NGq7QIE3QwSE0cAKrvPuTA_pb_x300.png"
"11";"Blankiet";"Prince of Hearts Rosé N.V.";"Rose";"United States
·
Napa Valley";"4.5";"77 ratings";"https://images.vivino.com/thumbs/BXIqIzVzT2OwkLs59qSPig_pb_x300.png"
"12";"Bodegas Vilano";"Think Pink Rosado 2017";"Rose";"Spain
·
Ribera del Duero";"4.5";"76 ratings";"https://images.vivino.com/highlights/icon/most_user_rated.svg"
"13";"Domaine Sainte Lucie";"L'Hydropathe Elite Rosé 2018";"Rose";"France
·
Côtes de Provence";"4.5";"59 ratings";"https://images.vivino.com/thumbs/Kkn7RIMUSkmQIhkF6MApiA_pb_x300.png"
"14";"Château Simone";"Palette Rose 2016";"Rose";"France
·
Palette";"4.5";"58 ratings";"https://images.vivino.com/thumbs/lnQL_iedQN2WcC2L68IceQ_pb_x300.png"
"15";"Domaines Ott";"Château Romassan Rosé (Coeur de Grain) 2010";"Rose";"France
·
Bandol";"4.5";"40 ratings";"https://images.vivino.com/thumbs/uE0N0zxUS1K36LSWVi_S_Q_pb_x300.png"
