"id";"winerys";"wine";"winetype";"country region";"averages";"reviews";"images"
"1";"Krug";"Clos d'Ambonnay Blanc de Noirs Brut Champagne 1995";"Sparkling";"France
·
Champagne";"4.9";"92 ratings";"https://images.vivino.com/thumbs/DPq0ayGPR4SBeTDsYzLiiA_pb_x300.png"
"2";"Dom Pérignon";"P2 Plénitude Brut Champagne 1995";"Sparkling";"France
·
Champagne";"4.9";"69 ratings";"https://images.vivino.com/thumbs/n5By4_iWSS2Zmf7anQtL_Q_pb_x300.png"
"3";"Perrier-Jouët";"Belle Epoque Brut Champagne 1979";"Sparkling";"France
·
Champagne";"4.9";"42 ratings";"https://images.vivino.com/thumbs/B976g0gBR1G4iniATCCKIQ_pb_x300.png"
"4";"Louis Roederer";"Brut Premier Champagne 1993";"Sparkling";"France
·
Champagne Premier Cru";"4.9";"36 ratings";"https://images.vivino.com/thumbs/3PMfb042TN-5ZzzqkBEIHA_pb_x300.png"
"5";"Dom Pérignon";"Oenothèque Brut Champagne 1976";"Sparkling";"France
·
Champagne";"4.9";"31 ratings";"https://images.vivino.com/thumbs/-2XJ5LS9T0uFnEuseMmNvg_pb_x300.png"
"6";"Bollinger";"Vieilles Vignes Françaises Blanc de Noirs Brut Champagne 1997";"Sparkling";"France
·
Champagne";"4.9";"31 ratings";"https://images.vivino.com/thumbs/yYHkkUczRVaBfBBl1NAoww_pb_x300.png"
"7";"Taittinger";"Comtes de Champagne Blanc de Blancs 1983";"Sparkling";"France
·
Champagne";"4.9";"29 ratings";"https://images.vivino.com/thumbs/5DnUGr-_SwOGKMxb1KuuGA_pb_x300.png"
"8";"Krug";"Clos du Mesnil Blanc de Blancs Brut Champagne 1985";"Sparkling";"France
·
Champagne";"4.9";"26 ratings";"https://images.vivino.com/thumbs/xtWMPmF6RtKFoWz3kpxz4Q_pb_x300.png"
"9";"Dom Pérignon";"P3 Plénitude Brut Champagne 1985";"Sparkling";"France
·
Champagne";"4.9";"25 ratings";"https://images.vivino.com/thumbs/URFBcLe4TNar72CXLie8Kg_pb_x300.png"
"10";"Krug";"Clos d'Ambonnay Blanc de Noirs Brut Champagne N.V.";"Sparkling";"France
·
Champagne";"4.8";"537 ratings";"https://images.vivino.com/thumbs/DPq0ayGPR4SBeTDsYzLiiA_pb_x300.png"
"11";"Krug";"Clos du Mesnil Blanc de Blancs Brut Champagne 2000";"Sparkling";"France
·
Champagne";"4.8";"275 ratings";"https://images.vivino.com/thumbs/xtWMPmF6RtKFoWz3kpxz4Q_pb_x300.png"
"12";"Louis Roederer";"Cristal Brut Champagne (Millésimé) 1990";"Sparkling";"France
·
Champagne";"4.8";"212 ratings";"https://images.vivino.com/thumbs/bXZK_MhMQi-a2xrjEITv2A_pb_x300.png"
"13";"Krug";"Clos du Mesnil Blanc de Blancs Brut Champagne 2003";"Sparkling";"France
·
Champagne";"4.8";"185 ratings";"https://images.vivino.com/thumbs/xtWMPmF6RtKFoWz3kpxz4Q_pb_x300.png"
"14";"Krug";"Clos du Mesnil Blanc de Blancs Brut Champagne 1998";"Sparkling";"France
·
Champagne";"4.8";"176 ratings";"https://images.vivino.com/thumbs/xtWMPmF6RtKFoWz3kpxz4Q_pb_x300.png"
"15";"Krug";"Clos d'Ambonnay Blanc de Noirs Brut Champagne 1998";"Sparkling";"France
·
Champagne";"4.8";"144 ratings";"https://images.vivino.com/thumbs/DPq0ayGPR4SBeTDsYzLiiA_pb_x300.png"
"16";"Krug";"Clos du Mesnil Blanc de Blancs Brut Champagne 1996";"Sparkling";"France
·
Champagne";"4.8";"120 ratings";"https://images.vivino.com/thumbs/xtWMPmF6RtKFoWz3kpxz4Q_pb_x300.png"
"17";"Krug";"Clos d'Ambonnay Blanc de Noirs Brut Champagne 1996";"Sparkling";"France
·
Champagne";"4.8";"111 ratings";"https://images.vivino.com/thumbs/DPq0ayGPR4SBeTDsYzLiiA_pb_x300.png"
"18";"Jacques Selosse";"Lieux-dits Le Bout du Clos Extra Brut Champagne Grand Cru 'Ambonnay' 1999";"Sparkling";"France
·
Champagne Grand Cru 'Ambonnay'";"4.8";"73 ratings";"https://images.vivino.com/thumbs/y4QqwvAMRzmCHj6l-8-L_A_pb_x300.png"
"19";"Dom Pérignon";"Brut Rosé Champagne 1982";"Sparkling";"France
·
Champagne";"4.8";"67 ratings";"https://images.vivino.com/thumbs/VhLkvaMQT9ydS3DIy19kJw_pb_x300.png"
"20";"Bollinger";"Vieilles Vignes Françaises Blanc de Noirs Brut Champagne 2007";"Sparkling";"France
·
Champagne";"4.8";"56 ratings";"https://images.vivino.com/thumbs/yYHkkUczRVaBfBBl1NAoww_pb_x300.png"
"21";"Krug";"Collection Brut Champagne 1982";"Sparkling";"France
·
Champagne";"4.8";"51 ratings";"https://images.vivino.com/thumbs/ECz-28QOTx-JgpyjS9JtPg_pb_x300.png"
"22";"Dom Pérignon";"Oenothèque Brut Rosé Champagne 1993";"Sparkling";"France
·
Champagne";"4.8";"49 ratings";"https://images.vivino.com/thumbs/bfw3r_yrRhewBTU8U5klmg_pb_x300.png"
"23";"Krug";"Collection Brut Champagne 1981";"Sparkling";"France
·
Champagne";"4.8";"47 ratings";"https://images.vivino.com/thumbs/ECz-28QOTx-JgpyjS9JtPg_pb_x300.png"
"24";"Charles Heidsieck";"Brut Réserve Charlie Champagne 1985";"Sparkling";"France
·
Champagne";"4.8";"44 ratings";"https://images.vivino.com/thumbs/PxgKVrRLT7uBaxhTiiCtCw_pb_x300.png"
"25";"Moët & Chandon";"White Star Champagne 2000";"Sparkling";"France
·
Champagne";"4.8";"40 ratings";"https://images.vivino.com/thumbs/8XZqb52NRhaWolq_v4mVvg_pb_x300.png"
"26";"Altaneve";"Z Prosecco Superiore N.V.";"Sparkling";"Italy
·
Conegliano-Valdobbiadene Prosecco Superiore";"4.8";"38 ratings";"https://images.vivino.com/thumbs/OJMMpuHxQ5qkldwxLCrb9A_pb_x300.png"
"27";"Billecart-Salmon";"Clos Saint-Hilaire Brut Champagne 2002";"Sparkling";"France
·
Champagne";"4.8";"38 ratings";"https://images.vivino.com/thumbs/qsDV-1yaSWi6OmT2Fm1i3A_pb_x300.png"
"28";"Dom Pérignon";"P3 Plénitude Brut Champagne 1983";"Sparkling";"France
·
Champagne";"4.8";"37 ratings";"https://images.vivino.com/thumbs/URFBcLe4TNar72CXLie8Kg_pb_x300.png"
"29";"Dom Pérignon";"Brut Champagne 1986";"Sparkling";"France
·
Champagne";"4.8";"35 ratings";"https://images.vivino.com/thumbs/s5aXYaQiTu-V_xEYI3KXRg_pb_x300.png"
"30";"Dom Pérignon";"Oenothèque Brut Champagne 1988";"Sparkling";"France
·
Champagne";"4.8";"35 ratings";"https://images.vivino.com/thumbs/-2XJ5LS9T0uFnEuseMmNvg_pb_x300.png"
"31";"Dom Pérignon";"Oenothèque Brut Champagne 1985";"Sparkling";"France
·
Champagne";"4.8";"30 ratings";"https://images.vivino.com/thumbs/-2XJ5LS9T0uFnEuseMmNvg_pb_x300.png"
"32";"Dom Pérignon";"P3 Plénitude Brut Champagne 1988";"Sparkling";"France
·
Champagne";"4.8";"30 ratings";"https://images.vivino.com/thumbs/URFBcLe4TNar72CXLie8Kg_pb_x300.png"
"33";"R. & L. Legras";"Blanc de Blancs Brut Champagne Grand Cru 1996";"Sparkling";"France
·
Champagne Grand Cru";"4.8";"27 ratings";"https://images.vivino.com/thumbs/xLO-xwfeQ7erWq5xQ3gn6w_pb_x300.png"
"34";"Dom Pérignon";"P2 Plénitude Brut Rosé Champagne 1995";"Sparkling";"France
·
Champagne";"4.8";"27 ratings";"https://images.vivino.com/thumbs/qYsRxC1qRY-Xvu6VmhMJCA_pb_x300.png"
"35";"Dom Pérignon";"Oenothèque Brut Champagne 2001";"Sparkling";"France
·
Champagne";"4.8";"26 ratings";"https://images.vivino.com/thumbs/-2XJ5LS9T0uFnEuseMmNvg_pb_x300.png"
"36";"Salon";"Le Mesnil Blanc de Blancs (Cuvée S) Brut Champagne N.V.";"Sparkling";"France
·
Champagne";"4.7";"5664 ratings";"https://images.vivino.com/thumbs/npULvXoQRk6stiNqDWzB6Q_pb_x300.png"
"37";"Dom Pérignon";"Oenothèque Brut Champagne N.V.";"Sparkling";"France
·
Champagne";"4.7";"4410 ratings";"https://images.vivino.com/thumbs/-2XJ5LS9T0uFnEuseMmNvg_pb_x300.png"
