"id";"winerys";"wine";"winetype";"country region";"averages";"reviews";"images"
"1";"Domaine de La Romanée-Conti";"Montrachet Grand Cru 2010";"Whites";"France
·
Montrachet Grand Cru";"4.9";"37 ratings";"https://images.vivino.com/thumbs/rORmihtxSrKG7SfuI0bD6w_pb_x300.png"
"2";"Domaine de La Romanée-Conti";"Montrachet Grand Cru 2014";"Whites";"France
·
Montrachet Grand Cru";"4.9";"33 ratings";"https://images.vivino.com/thumbs/rORmihtxSrKG7SfuI0bD6w_pb_x300.png"
"3";"Domaine Coche-Dury";"Meursault Les Rougeots 2001";"Whites";"France
·
Meursault";"4.9";"25 ratings";"https://images.vivino.com/thumbs/l5W5NRvZR_SzClIDSnG5Ag_pb_x300.png"
"4";"Domaine Coche-Dury";"Corton-Charlemagne Grand Cru N.V.";"Whites";"France
·
Corton-Charlemagne Grand Cru";"4.8";"416 ratings";"https://images.vivino.com/thumbs/ZGxHdQyGQt-hfJt7eNMXlA_pb_x300.png"
"5";"Jarvis";"Estate Finch Hollow Chardonnay (Cave Fermented) 2014";"Whites";"United States
·
Napa Valley";"4.8";"113 ratings";"https://images.vivino.com/thumbs/pQ_92smWRKG7Y7h5_ZwD-w_pb_x300.png"
"6";"Château d'Yquem";"Y 1996";"Whites";"France
·
Bordeaux Supérieur";"4.8";"96 ratings";"https://images.vivino.com/thumbs/6dP83oDrQy2Zv6es9tHp7w_pb_x300.png"
"7";"Domaine Leflaive";"Bâtard-Montrachet Grand Cru 1996";"Whites";"France
·
Bâtard-Montrachet Grand Cru";"4.8";"71 ratings";"https://images.vivino.com/thumbs/EDQ4q_3FQ568NVspQBECug_pb_x300.png"
"8";"Joseph Drouhin";"Montrachet Grand Cru Marquis de Laguiche 2004";"Whites";"France
·
Montrachet Grand Cru";"4.8";"64 ratings";"https://images.vivino.com/thumbs/1QoFUeYqQaCU07v4MBx8yw_pb_x300.png"
"9";"Domaine Coche-Dury";"Meursault Les Rougeots 2005";"Whites";"France
·
Meursault";"4.8";"56 ratings";"https://images.vivino.com/thumbs/l5W5NRvZR_SzClIDSnG5Ag_pb_x300.png"
"10";"Olivier Leflaive";"Bâtard-Montrachet Grand Cru 2012";"Whites";"France
·
Bâtard-Montrachet Grand Cru";"4.8";"55 ratings";"https://images.vivino.com/thumbs/pWOdFPoyQ427uoHW_l941g_pb_x300.png"
"11";"Joseph Drouhin";"Montrachet Grand Cru Marquis de Laguiche 2002";"Whites";"France
·
Montrachet Grand Cru";"4.8";"44 ratings";"https://images.vivino.com/thumbs/1QoFUeYqQaCU07v4MBx8yw_pb_x300.png"
"12";"Domaine de La Romanée-Conti";"Montrachet Grand Cru 1999";"Whites";"France
·
Montrachet Grand Cru";"4.8";"44 ratings";"https://images.vivino.com/thumbs/rORmihtxSrKG7SfuI0bD6w_pb_x300.png"
"13";"Domaine de La Romanée-Conti";"Montrachet Grand Cru 2000";"Whites";"France
·
Montrachet Grand Cru";"4.8";"42 ratings";"https://images.vivino.com/thumbs/rORmihtxSrKG7SfuI0bD6w_pb_x300.png"
"14";"M. Chapoutier";"Ermitage de l'Orée 2004";"Whites";"France
·
Hermitage";"4.8";"41 ratings";"https://images.vivino.com/thumbs/K3N0EZYBQeWunDuzNC0Dug_pb_x300.png"
"15";"Château Haut-Brion";"Pessac-Léognan Blanc (Grand Cru Classé de Graves) 2005";"Whites";"France
·
Pessac-Léognan";"4.8";"39 ratings";"https://images.vivino.com/thumbs/EvtJOugzTx-HZXZfdZvTsA_pb_x300.png"
"16";"Joseph Drouhin";"Montrachet Grand Cru Marquis de Laguiche 2015";"Whites";"France
·
Montrachet Grand Cru";"4.8";"38 ratings";"https://images.vivino.com/thumbs/1QoFUeYqQaCU07v4MBx8yw_pb_x300.png"
"17";"La Grange des Pères";"Vin de Pays de l'Hérault Blanc 2007";"Whites";"France
·
Hérault";"4.8";"37 ratings";"https://images.vivino.com/thumbs/tBJyYsUeTxuYIPy6oS5T4A_pb_x300.png"
"18";"Trimbach";"Clos Sainte Hune Riesling Alsace 1990";"Whites";"France
·
Alsace";"4.8";"36 ratings";"https://images.vivino.com/thumbs/sOfai0jLTaKoP_6oXtvH9w_pb_x300.png"
"19";"Domaine Coche-Dury";"Meursault Les Rougeots 2010";"Whites";"France
·
Meursault";"4.8";"35 ratings";"https://images.vivino.com/thumbs/l5W5NRvZR_SzClIDSnG5Ag_pb_x300.png"
"20";"Domaine Coche-Dury";"Corton-Charlemagne Grand Cru 2009";"Whites";"France
·
Corton-Charlemagne Grand Cru";"4.8";"34 ratings";"https://images.vivino.com/thumbs/QIs0hHhdRHubnyUjY8U2kA_pb_x300.png"
"21";"Kongsgaard";"The Judge Chardonnay 2012";"Whites";"United States
·
Napa Valley";"4.8";"34 ratings";"https://images.vivino.com/thumbs/xfK7hQR7T6WJjvIIsDW21A_pb_x300.png"
"22";"Domaine de La Romanée-Conti";"Montrachet Grand Cru 1993";"Whites";"France
·
Montrachet Grand Cru";"4.8";"32 ratings";"https://images.vivino.com/thumbs/rORmihtxSrKG7SfuI0bD6w_pb_x300.png"
"23";"Domaine Coche-Dury";"Corton-Charlemagne Grand Cru 2005";"Whites";"France
·
Corton-Charlemagne Grand Cru";"4.8";"32 ratings";"https://images.vivino.com/thumbs/QIs0hHhdRHubnyUjY8U2kA_pb_x300.png"
