"id";"winerys";"winetype";"country";"region";"averages";"reviews";"images";"winename"
1;"OREMUS";"Dessert";"HUN";"tokaj";5;34;"https://images.vivino.com/thumbs/_VYRnv4XTfCVEXlvhYw4AA_pb_x300.png";"ESZENCIA 1999"
2;"OREMUS";"Dessert";"HUN";"tokaj";4.9;40;"https://images.vivino.com/thumbs/_VYRnv4XTfCVEXlvhYw4AA_pb_x300.png";"ESZENCIA 2005"
3;"OREMUS";"Dessert";"HUN";"tokaj";4.9;37;"https://images.vivino.com/thumbs/_VYRnv4XTfCVEXlvhYw4AA_pb_x300.png";"ESZENCIA 2000"
4;"ROLET";"Dessert";"FR";"arbois";4.9;28;"https://images.vivino.com/thumbs/27IrPhDUR0KvICy3yYBEbQ_pb_x300.png";"VIN DE PAILLE ARBOIS 2004"
5;"ROYAL TOKAJI";"Dessert";"HUN";"tokaj";4.9;27;"https://images.vivino.com/thumbs/1v-6QFBrRdqpfhCqaUUbLQ_pb_x300.png";"ESSENCIA 2007"
6;"ROYAL TOKAJI";"Dessert";"HUN";"tokaj";4.9;25;"https://images.vivino.com/thumbs/1v-6QFBrRdqpfhCqaUUbLQ_pb_x300.png";"ESSENCIA 2000"
7;"CHÂTEAU D'YQUEM";"Dessert";"FR";"sauternes";4.8;1201;"https://images.vivino.com/thumbs/Jt7xLGXcSA22gVYMyBJjGg_pb_x300.png";"SAUTERNES 1990"
8;"CHÂTEAU D'YQUEM";"Dessert";"FR";"sauternes";4.8;870;"https://images.vivino.com/thumbs/Jt7xLGXcSA22gVYMyBJjGg_pb_x300.png";"SAUTERNES 2001"
9;"CHÂTEAU D'YQUEM";"Dessert";"FR";"sauternes";4.8;645;"https://images.vivino.com/thumbs/Jt7xLGXcSA22gVYMyBJjGg_pb_x300.png";"SAUTERNES 1989"
10;"CHÂTEAU D'YQUEM";"Dessert";"FR";"sauternes";4.8;338;"https://images.vivino.com/thumbs/Jt7xLGXcSA22gVYMyBJjGg_pb_x300.png";"SAUTERNES 1976"
